old_path,new_path,type,status
/a--black-mans-quixotic-quest-quell-racism-the-kkk-one-robe-a-time,/news/-black-mans-quixotic-quest-quell-racism-the-kkk-one-robe-a-time,article,301
/a--black-vault-releases-trove-cias-classified-ufo-documents,/news/-black-vault-releases-trove-cias-classified-ufo-documents,article,301
/a--blacklist-burning-bush,/news/-blacklist-burning-bush,article,301
/a--blind-theology-militarism,/news/-blind-theology-militarism,article,301
/a--blind-woman-who-switched-personalities-could-suddenly-see,/news/-blind-woman-who-switched-personalities-could-suddenly-see,article,301
/a--blockbuster-documentaries-putting-sustainability-the-map,/news/-blockbuster-documentaries-putting-sustainability-the-map,article,301
/a--bloom-box-energy-breakthrough,/news/-bloom-box-energy-breakthrough,article,301
/a--body-cam-captured-cops-violent-encounter-with-teen--but-new-law-keeps-video-secret,/news/-body-cam-captured-cops-violent-encounter-with-teen--but-new-law-keeps-video-secret,article,301
/a--booming-industry-ai-age-scanners-aimed-childrens-faces,/news/-booming-industry-ai-age-scanners-aimed-childrens-faces,article,301
/a--bottom-90-percent-poorer-today-than-they-were-1987,/news/-bottom-90-percent-poorer-today-than-they-were-1987,article,301
/a--boy-who-played-with-fusion,/news/-boy-who-played-with-fusion,article,301
/a--brain-changed-walking-kokoda-trail-with-cerebral-palsy,/news/-brain-changed-walking-kokoda-trail-with-cerebral-palsy,article,301
/a--brain-injury-made-me-math-genius,/news/-brain-injury-made-me-math-genius,article,301
/a--brain-love,/news/-brain-love,article,301
/a--brain-the-next-logical-frontier-futurists,/news/-brain-the-next-logical-frontier-futurists,article,301
/a--brazil-prisons-without-guards-offer-inmates-path-recovery,/news/-brazil-prisons-without-guards-offer-inmates-path-recovery,article,301
/a--brazil-some-inmates-get-therapy-with-hallucinogenic-tea,/news/-brazil-some-inmates-get-therapy-with-hallucinogenic-tea,article,301
/a--break-with-past-us-using-intel-fight-info-war-with-russia-even-when-intel-isnt-rock-solid,/news/-break-with-past-us-using-intel-fight-info-war-with-russia-even-when-intel-isnt-rock-solid,article,301
/a--bribery-aisle-how-walmart-got-its-way-mexico,/news/-bribery-aisle-how-walmart-got-its-way-mexico,article,301
/a--brief-history-boobytrapping-electronics-blow-up,/news/-brief-history-boobytrapping-electronics-blow-up,article,301
/a--brief-history-psychedelic-psychiatry,/news/-brief-history-psychedelic-psychiatry,article,301
/a--brief-history-the-cias-unpunished-spying-the-senate,/news/-brief-history-the-cias-unpunished-spying-the-senate,article,301
/a--britain-child-sex-abuse-defies-easy-stereotypes,/news/-britain-child-sex-abuse-defies-easy-stereotypes,article,301
/a--british-judge-said-us-prisons-dangerously-inhumane-sadly-shes-right,/news/-british-judge-said-us-prisons-dangerously-inhumane-sadly-shes-right,article,301
/a--broken-system-forgives-sexually-abusive-doctors-every-state,/news/-broken-system-forgives-sexually-abusive-doctors-every-state,article,301
/a--brooklyn-hologram-studio-receiving-millions-from-cia,/news/-brooklyn-hologram-studio-receiving-millions-from-cia,article,301
